study_id,label,authors,title,journal,year,volume,issue,pages,doi,pmid,record_type,matched_by
S41,de St Maurice 2018,de St Maurice A; Ervin E; Orone R; Choi M; Dokubo EK; Rollin PE; Nichol ST; Williams D; Brown J; Sacra R; Fankhauser J; Knust B,"Care of Ebola Survivors and Factors Associated With Clinical Sequelae-Monrovia, Liberia",Open Forum Infect Dis,2018,5,10,ofy239,10.1093/ofid/ofy239,30386807,Journal article,manual(evidence)
S42,Eghrari 2021,Eghrari AO; Bishop RJ; Ross RD; Davis B; Larbelee J; Amegashie F; Dolo RF; Prakalapakorn SG; Gaisie C; Gargu C; Sosu Y; Sackor J; Cooper PZ; Wallace A; Nyain R; Gray M; Kamara F; Burkholder B; Brady CJ; Ray V; Tawse KL; Yeung I; Neaton JD; Higgs ES; Lane HC; Reilly C; Sneller MC; Fallah MP,Characterization of Ebola Virus-Associated Eye Disease,JAMA Netw Open,2021,4,1,e2032216,10.1001/jamanetworkopen.2020.32216,33399856,Journal article,manual(evidence)
S43,Hartley 2024,Hartley CD; Kim L; Fashina T; Begley J; Mattia JG; Vandy MJ; Harrison-Williams LC; Mustapha J; Garry RF; Schieffelin JS; Grant DS; Goba A; Kraft CS; Hayek BR; Palacios G; Shantha J; Crozier I; Zeng X; Yeh S; Ebola Virus Persistence in Ocular Tissues; Fluids Study Investigators,Long-term visual outcomes and histopathologic findings after cataract surgery in Ebola virus disease survivors in the Ebola virus RNA persistence in ocular tissues and fluids (EVICT) study,PLoS Negl Trop Dis,2024,18,11,e0012662,10.1371/journal.pntd.0012662,39576825,Journal article,first-author+year
S44,Mwanza 2024,Mwanza JC; Shantha JG; Legand A; Hartley C; Si-Mehand M; Kahatane AK; Mumbere TM; Ngona LB; Kanza EM; Kavuo AT; Kabesha TA; Kelekele JK; Kahumba FM; Muhindo DM; Djoza BS; Kitenge RO; Formenty P; Crozier I; Yeh S,"Screening for Eye Disease in Ebola Virus Disease Survivors: Program Implementation During an Active Outbreak in the North Kivu and Ituri Provinces, Democratic Republic of the Congo",Int Ophthalmol Clin,2024,64,4,55-61,10.1097/IIO.0000000000000533,39480208,Journal article,manual(evidence)
S45,Mwanza 2025,Mwanza JC; Kahindo AK; Mbusa-Kombi J; Mumbere MV; Kitenge RO; McIlwain DR; Mulangu JCS; Mbala PK; Okitundu D; Giordani BJ; Boivin MJ; Sikorskii A; Kabedi NN; Shantha JG; Yeh S; Mumba DN; Tshala-Katumbay D,Ophthalmological manifestations and plasma markers of inflammation in Ebola survivors in post-treatment era,Sci Rep,2025,15,1,14966,10.1038/s41598-025-96256-4,40301432,Journal article,manual(evidence)
S46,Muwonge 2025,Muwonge H; Nasimiyu C; Bakamutumaho B; Elyanu P; Joloba ML; Situma S; Schieffelin J; Gunn B; Bai S; Breiman RF; Ssewanyana I; Nabadda S; Lutwama J; Tegen Y; Muruta A; Kirenga B; Olaro C; Aceng JR; Bosa HK; Njenga MK,Long-term clinical sequelae among Sudan ebolavirus disease survivors 2 years post-infection: a matched cohort study,BMC Med,2025,23,1,432,10.1186/s12916-025-04271-z,40682158,Journal article,manual(evidence)
S48,Kaweesa 2026,Kaweesa RE; Katende JS; Wayesu RR; Ntabadde AD; Opio S; Kato L; Oluka GK; Nambi R; Tumusiime RA; FiloStudy Team; Kaleebu P; Lutwama JJ; Serwanga J,Resilience and residuals beyond containment - The hidden burden of Bundibugyo Ebola virus survivorship sixteen years on: A cross-sectional observational study,New Microbes New Infect,2026,69,,101685,10.1016/j.nmni.2025.101685,41918761,Journal article,first-author+year
S49,Shantha 2018,Shantha JG; Mattia JG; Goba A; Barnes KG; Ebrahim FK; Kraft CS; Hayek BR; Hartnett JN; Shaffer JG; Schieffelin JS; Sandi JD; Momoh M; Jalloh S; Grant DS; Dierberg K; Chang J; Mishra S; Chan AK; Fowler R; O'Dempsey T; Kaluma E; Hendricks T; Reiners R; Reiners M; Gess LA; K ONeill; Kamara S; Wurie A; Mansaray M; Acharya NR; Liu WJ; Bavari S; Palacios G; Teshome M; Crozier I; Farmer PE; Uyeki TM; Bausch DG; Garry RF; Vandy MJ; Yeh S,Ebola Virus Persistence in Ocular Tissues and Fluids (EVICT) Study: Reverse Transcription-Polymerase Chain Reaction and Cataract Surgery Outcomes of Ebola Survivors in Sierra Leone,EBioMedicine,2018,30,,217-224,10.1016/j.ebiom.2018.03.020,29622497,Journal article,manual(evidence)
S50,Berry 2021,Berry DE; Bavinger JC; Fernandes A; Mattia JG; Mustapha J; Harrison-Williams L; Teshome M; Vandy MJ; Shantha JG; Yeh S; Ebola Virus Persistence in Ocular Tissues; Fluids Study Investigators,"Posterior Segment Ophthalmic Manifestations in Ebola Survivors, Sierra Leone",Ophthalmology,2021,128,9,1371-1373,10.1016/j.ophtha.2021.02.001,33561480,Journal article,first-author+year
S52,Dyal 2023,Dyal J; Kofman A; Kollie JZ; Fankhauser J; Orone R; Soka MJ; Glaybo U; Kiawu A; Freeman E; Giah G; Tony HD; Faikai M; Jawara M; Kamara K; Kamara S; Flowers B; Kromah ML; Desamu-Thorpe R; Graziano J; Brown S; Morales-Betoulle ME; Cannon DL; Su K; Linderman SL; Plucinski M; Rogier E; Bradbury RS; Secor WE; Bowden KE; Phillips C; Carrington MN; Park YH; Martin MP; Aguinaga MDP; Mushi R; Haberling DL; Ervin ED; Klena JD; Massaquoi M; Nyenswah T; Nichol ST; Chiriboga DE; Williams DE; Hinrichs SH; Ahmed R; Vonhm BT; Rollin PE; Purpura LJ; Choi MJ,Risk Factors for Ebola Virus Persistence in Semen of Survivors in Liberia,Clin Infect Dis,2023,76,3,e849-e856,10.1093/cid/ciac424,35639875,Journal article,first-author+year
S53,Eghrari 2016,Eghrari AO; Burkholder B; Ross R; Tawse K; Prakalapakorn SG; Reilly C; Fallah M; Sneller M; Bishop R,Factors associated with uveitis among Ebola survivors in the PREVAIL III study,,,,,,,,Conference abstract,manual(evidence)
S54,PREVAIL III Study Group 2019,PREVAIL III Study Group; Sneller MC; Reilly C; Badio M; Bishop RJ; Eghrari AO; Moses SJ; Johnson KL; Gayedyu-Dennis D; Hensley LE; Higgs ES; Nath A; Tuznik K; Varughese J; Jensen KS; Dighero-Kemp B; Neaton JD; Lane HC; Fallah MP,A Longitudinal Study of Ebola Sequelae in Liberia,N Engl J Med,2019,380,10,924-934,10.1056/NEJMoa1805435,30855742,Journal article,manual(evidence)
